Transfers of major conventional arms from All countries  to Singapore  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 15 Mar 2025 3:16:35 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Singapore,Israel,2006,?,100,?,SPICE,guided bomb,100,,2007,New,,0.4,40,40
Singapore,United States,2008,,20,?,AAQ-33 Sniper ATP,aircraft EO system,20,,2010; 2011,New,For F-16 combat aircraft,1,20,20
Singapore,Italy,1991,?,50,?,A244,anti-submarine torpedo,50,,1994; 1995,New,For Fokker-50 ASW aircraft; A-244/S version,0.25,12.5,12.5
Singapore,Italy,1993,?,100,?,A244,anti-submarine torpedo,100,,1996; 1997; 1998,New,For Fearless patrol craft; A-244/S version,0.25,25,25
Singapore,Switzerland,1978,?,17,?,Super-Fledermaus,fire-control radar,17,,1979; 1980,New,For use with GDF-002 35mm anti-aircraft guns,3.5,59.5,59.5
Singapore,United States,2000,?,6,,EDO-980,ASW sonar,6,,2007; 2008; 2009,New,For 6 Lafayette (Formidable) frigates from France,7.5,45,45
Singapore,Italy,2000,?,100,?,A244,anti-submarine torpedo,100,,2007; 2008; 2009,New,For Lafayette (Formidable) frigates,0.25,25,25
Singapore,Germany,2007,?,19,?,Buffel,armoured recovery vehicle,19,,2010; 2011,Second hand but modernized,Second-hand Leopard-2 tank modified to Buffel ARV,1.49,28.22,28.22
Singapore,United Kingdom,1970,,1,,LCT-8,landing ship,1,,1970,Second hand,Second-hand,8,8,8
Singapore,United States,1985,,350,?,vehicle engine,vehicle engine,350,,1988; 1989; 1990; 1991,New,Detroit Diesel 6V-53T (290hp) diesel engine for modernization of 350 AMX-13 tanks to AMX-13SM-1,0.03,10.5,10.5
Singapore,United States,2000,,8,,APG-78 Longbow,combat heli radar,8,,2002,New,$26 m deal; for 8 AH-64D combat helicopters,3,24,24
Singapore,United States,2001,,12,,APG-78 Longbow,combat heli radar,12,,2005,New,For 12 AH-64D combat helicopters,3,36,36
Singapore,United States,2009,,15,,MaxxPro,APC,15,,2009,New,MaxxPro Dash version,0.32,4.8,4.8
Singapore,United States,1995,?,1000,?,vehicle engine,vehicle engine,1000,,1996; 1997; 1998; 1999; 2000,New,6V-53T (265hp) diesel engine; for modernization of M-113 APC,0.03,30,30
Singapore,United States,2016,?,16,,CH-47F Chinook,transport helicopter,16,,2021; 2022,New,,20,320,320
Singapore,France,2016,,18,?,H725 Caracal,transport helicopter,18,,2021; 2022; 2023,New,H225M version; incl for SAR and CSAR,8,144,144
Singapore,Israel,2022,?,,,Orbiter-3,UAV,5,,2023,New,Orbiter-4 version,0.05,0,0.25
Singapore,Canada,2006,,19,?,aircraft engine,aircraft engine,19,,2008,New,Pratt & Whitney Canada PT-6A-68B (1600hp) turboprop; for PC-21 trainer aircraft from Switzerland,0.5,9.5,9.5
Singapore,Israel,2007,,4,,EL/W-2085,airborne early-warning radar,4,,2009; 2010; 2011,New,For 4 G-550 AEW aircraft (aircraft from USA fitted with Israeli AEW system),35,140,140
Singapore,Canada,1991,,18,,aircraft engine,aircraft engine,18,,1993; 1994; 1995,New,Pratt & Whitney Canada PW-125B (2500hp) turboprop for 5 F-50 Enforcer MP and 4 F-50 transport aircraft from Netherlands,0.75,13.5,13.5
Singapore,Canada,1983,,30,?,JT15D,turbofan,30,,1984; 1985; 1986; 1987,New,For 30 S-211 trainer aircraft from Italy; JT-15D version,0.4,12,12
Singapore,United States,2001,,18,,AAQ-13 LANTIRN,combat aircraft radar,18,,2004; 2005,New,For F-16 combat aircraft,1,18,18
Singapore,United States,1996,?,5,?,AAQ-14 LANTIRN,aircraft EO system,5,,1999,New,AN/AAQ-19 Sharpshooter version,1,5,5
Singapore,United States,1996,?,5,?,AAQ-13 LANTIRN,combat aircraft radar,5,,1999,New,,1,5,5
Singapore,France,1993,?,6,,Gudgeon,ASW sonar,6,,1996; 1997,New,For 6 Fearless FAC/patrol craft produced in Singapore,5,30,30
Singapore,Italy,1993,?,12,,Super Rapid 76mm,naval gun,12,,1996; 1997; 1998,New,For 12 Fearless FAC produced in Singapore,2.75,33,33
Singapore,Italy,1986,?,6,,Super Rapid 76mm,naval gun,6,,1990; 1991,New,For 6 MGB-62 (Victory) corvettes from FRG,2.75,16.5,16.5
Singapore,Italy,2000,?,6,,Super Rapid 76mm,naval gun,6,,2007; 2008; 2009,New,For 6 La Fayette (Formidable) frigates from France,2.75,16.5,16.5
Singapore,Israel,2005,?,50,?,OWS-25,infantry fighting vehicle turret,50,,2006; 2007,New,For modernization of M-113 APC,0.8,40,40
Singapore,Switzerland,1978,?,34,?,GDF 35mm,anti-aircraft gun,34,,1979; 1980,New,GDF-001 version,0.75,25.5,25.5
Singapore,United States,2008,?,60,?,AGM-154 JSOW,guided glide bomb,60,,2008; 2009; 2010,New,AGM-154A and AGM-154C version; for F-15SG combat aircraft,0.4,24,24
Singapore,United States,2007,?,200,?,AIM-9X Sidewinder,long-range air-to-air missile,200,,2009; 2010; 2011; 2012,New,For F-15 combat aircraft,0.18,36,36
Singapore,United States,2004,,50,,AIM-120C AMRAAM,long-range air-to-air missile,50,,2006,New,$25 m deal; AIM-120C-5 version,0.6,30,30
Singapore,United States,1984,?,83,?,F404,turbofan,83,,1988; 1989,New,For modernization of A-4S combat aircraft to A-4SU and TA-4SU; F-404-GE-100 version,2.2,182.6,182.6
Singapore,Israel,1996,?,4,,EL/M-2238 STAR,air search radar,4,,2000; 2001,New,For 4 Endurance landing ships produced in Singapore,12.5,50,50
Singapore,United States,2000,?,60,?,AIM-9M Sidewinder,short-range air-to-air missile,60,,2001,New,AIM-9S version,0.12,7.2,7.2
